Source_Ja	Target_En	Translation_En_Ours	Human_Score_A	Human_Score_B	
今日は調査の進め方についてトレーニングします。	I will be teaching you how to conduct research today.	Today we are training how to proceed with the research.	85	85	
オンライン調査みたいなものですか？	Like just searching online?	Like online research?	100	90	
それも含みます。	Yes and no.	It will also contain it.	100	100	
まず、出所が正規のところであるかどうか確認しないといけません。	First of all we need to make sure the sources are legitimate.	First, we need to make sure if the source is a regular place.	60	80	
ブログとかコラムなどはだめということですか？	So no blogs or editorial?	Do you not want blogs or comments?	70	90	
そのとおり。	Exactly.	That's right.	100	100	
最初に見るところは政府のホームページです。	The first place I would look at is government websites.	The first thing you see is the government website.	80	100	
政府の数字は、一般的に正確で信用性が高いものです。	They typically have accurate data that is trustworthy.	The number of government is high, accurately and.	30	20	
他に良いサイトは？	What other websites would be good?	What is the good site?	40	20	
大手の銀行、会計事務所、市場調査会社などの企業データも活用できます。	You can also check out major institutions like banks, accounting companies, and market research companies.	We can also use major banks, accounting offices, market research companies.	90	100	
どうしてですか？	Why those?	Why is it?	90	100	
こうした企業は有名で、たいてい質の良い市況報告を発行しています。	They are well known and typically publishes good market reports.	These companies are famous and usually issued a good market report.	100	100	
でも、市況報告は無料でないこともあります。	But some market reports aren't free.	But the market report is not free.	85	90	
なので、無料データで探します。	So stick to the ones that are free.	So we'll find it for free data.	70	80	
でも、もし、有料データで良さそうなのがあったら？	What if it seems the report is useful?	But if you think you can be able to pay data?	30	50	
私に相談してください。	You can consult with me then.	Please consult me.	90	90	
でも、君がやるのはほとんど予備調査だよ。	But a lot of the research you will be doing is preliminary research.	But it's almost a reserve research you do.	30	50	
経営陣に見せるような調査ではありません。	So it won't be presented to upper management.	It's not an research that we will show to the management.	90	90	
わかりました。	I see.	I realized.	70	60	
市況報告書を購入するようなケースはあるのですか？	Would there be cases when we would purchase market reports?	Do you have a case that will be buying a market report?	90	90	
詳しい実現可能性調査をするようなときには購入が必要になります。	We will need them when we conduct detailed feasibility studies.	When you are going to buy a product that will be in detail.	70	65	
そういう調査は上層部へ報告されるので、専門の第３者企業に認証された情報でなければなりません。	These will be presented to the upper management so we need to show that the information is validated by professional third-party companies.	This investigation should be certified by the three companies.	10	25	
わかりました。	Got it.	I realized.	70	40	
ベンさん、こんにちは、またお会いできて嬉しいです。	Hi Ben, it's nice to see you again.	Hi Ben, I am glad to see you again.	100	100	
こちらこそお会いできて嬉しいです。	Nice to see you as well.	I am glad to see you here.	70	90	
ビジネスの方はいかがですか。	Business has been good?	How about business?	90	70	
